x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
123,349,426,0,1367,349,860,0,-0.000572259205385
120,349,424,0,1395,349,871,0,-0.000936479518863
120,349,424,0,1385,349,872,0,-0.000283597021024
124,349,425,0,1380,349,874,0,-0.000157393986533
119,349,422,0,1395,349,873,0,-0.000182005802679
119,349,420,0,1393,349,871,0,0.000123571870746
121,349,422,0,1367,349,857,0,0.000271802095148
118,349,427,0,1391,349,872,0,0.000271802095148
123,349,425,0,1373,349,860,0,0.000745026988383
120,349,425,0,1437,349,886,0,0.000338550269592
122,349,424,0,1394,349,874,0,-0.000206080352916
119,349,423,0,1395,349,871,0,0.000140762370029
117,349,424,0,1394,349,873,0,0.000320085442107
125,349,426,0,1370,349,859,0,-0.000140863394721
118,349,425,0,1386,349,868,0,0.000331756281937
119,349,424,0,1397,349,868,0,0.001912446480403
120,349,426,0,1390,349,865,0,0.001677027360685
123,349,426,0,1380,349,847,0,0.0018795977285
121,349,422,0,1405,349,863,0,0.002372257736869
145,349,420,0,1395,349,852,0,6.92715724996828E-06
132,349,419,0,1408,349,856,0,-0.000585224854513
133,349,420,0,1444,349,826,0,0.000113217365972
133,349,420,0,1331,349,794,0,0.00696972494347
131,349,421,0,1346,349,794,0,0.008547818495831
146,349,395,0,1428,349,830,0,0.000501055633448
133,349,407,0,1473,349,814,0,0.007991633781853
138,349,404,0,1324,349,706,0,0.01163718303307
140,349,407,0,1309,349,718,0,0.02299281600091
148,349,391,0,1436,349,732,0,0.02299281600091
197,349,355,0,1493,349,646,0,0.022761808747074
172,349,368,0,1422,349,643,0,0.025602472436094
173,349,363,0,1452,349,620,0,-0.01650369722074
159,349,368,0,1468,349,584,0,0.050426416409694
170,349,359,0,1365,349,535,0,0.064517341067872
159,349,358,0,1367,349,530,0,0.064517341067872
164,349,308,0,1375,349,535,0,0.079819191439384
177,349,290,0,1403,349,516,0,0.079819191439384
178,349,274,0,1365,349,491,0,0.056813600382693
172,349,277,0,1337,349,468,0,0.050129931542741
172,349,267,0,1330,349,475,0,0.026318659858683
