x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1,g2,g3
95,349,423,0,1324,349,830,0,0.006347801193478,-0.006347801193478,6.347801193478
103,349,421,0,1352,349,849,0,0.006347801193478,-0.006347801193478,6.347801193478
103,349,427,0,1335,349,814,0,0.005192405489661,-0.005192405489661,5.192405489661
109,349,424,0,1333,349,829,0,0.002504815516078,-0.002504815516078,2.504815516078
112,349,434,0,1335,349,831,0,0.002504815516078,-0.002504815516078,2.504815516078
234,349,501,0,1284,349,887,0,0.001077142159066,-0.001077142159066,1.077142159066
344,349,599,0,1363,349,842,0,0.000106083422353,-0.000106083422353,0.106083422353
397,349,635,0,1345,349,823,0,-0.014111966739728,0.014111966739728,-14.111966739728
511,349,722,0,1338,349,841,0,-0.002785038340357,0.002785038340357,-2.785038340357
121,349,434,0,1364,349,854,0,-0.002785038340357,0.002785038340357,-2.785038340357
119,349,434,0,1354,349,845,0,-0.003082092533281,0.003082092533281,-3.082092533281
112,349,431,0,1340,349,833,0,-0.0034046291655,0.0034046291655,-3.4046291655
116,349,431,0,1360,349,839,0,-0.003058279702907,0.003058279702907,-3.058279702907
112,349,434,0,1357,349,846,0,-0.003058279702907,0.003058279702907,-3.058279702907
118,349,432,0,1381,349,861,0,-0.001322467662616,0.001322467662616,-1.322467662616
117,349,434,0,1342,349,845,0,-0.001661374966621,0.001661374966621,-1.661374966621
114,349,436,0,1363,349,853,0,-0.001661374966621,0.001661374966621,-1.661374966621
120,349,438,0,1345,349,843,0,-0.000164876424723,0.000164876424723,-0.164876424723
117,349,435,0,1360,349,844,0,-0.000630935685482,0.000630935685482,-0.630935685482
122,349,430,0,1386,349,864,0,-0.000520787559787,0.000520787559787,-0.520787559787
119,349,429,0,1377,349,871,0,-0.000520787559787,0.000520787559787,-0.520787559787
120,349,431,0,1386,349,864,0,-0.001241022985747,0.001241022985747,-1.241022985747
118,349,433,0,1383,349,850,0,-0.0003656669312,0.0003656669312,-0.3656669312
112,349,434,0,1404,349,881,0,-0.0003656669312,0.0003656669312,-0.3656669312
117,349,433,0,1387,349,863,0,-0.000607274394118,0.000607274394118,-0.607274394118
116,349,434,0,1386,349,867,0,-0.000487981182387,0.000487981182387,-0.487981182387
115,349,433,0,1387,349,878,0,-0.0002256310739,0.0002256310739,-0.2256310739
118,349,427,0,1388,349,876,0,-0.0002256310739,0.0002256310739,-0.2256310739
124,349,424,0,1392,349,875,0,-0.000677677132841,0.000677677132841,-0.677677132841
119,349,429,0,1410,349,878,0,-0.00034185792725,0.00034185792725,-0.34185792725
119,349,427,0,1367,349,864,0,-0.000114557860639,0.000114557860639,-0.114557860639
120,349,425,0,1406,349,880,0,-0.000769731109996,0.000769731109996,-0.769731109996
130,349,428,0,1446,349,889,0,-0.001433355074273,0.001433355074273,-1.433355074273
123,349,425,0,1442,349,890,0,-0.001433355074273,0.001433355074273,-1.433355074273
113,349,430,0,1367,349,863,0,9.51803901025009E-05,-9.51803901025009E-05,0.095180390102501
122,349,424,0,1390,349,876,0,0.000205140186654,-0.000205140186654,0.205140186654
119,349,434,0,1398,349,885,0,0.000296408834108,-0.000296408834108,0.296408834108
121,349,428,0,1362,349,862,0,-0.000908930315812,0.000908930315812,-0.908930315812
119,349,429,0,1450,349,888,0,-0.000908930315812,0.000908930315812,-0.908930315812
113,349,428,0,1404,349,880,0,-0.001124828755769,0.001124828755769,-1.124828755769
118,349,430,0,1367,349,861,0,3.56566234606738E-05,-3.56566234606738E-05,0.035656623460674
